threshold,accept_rate,false_escalation_rate,missed_error_rate,f1_score
0.6,0.6042,0.3333,0.5000,0.5714
0.7,0.4583,0.4667,0.3333,0.5926
0.72,0.4167,0.5000,0.2778,0.5909
0.8,0.2917,0.6000,0.1111,0.5517
0.9,0.1042,0.8333,0.0000,0.2857
